data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5018506,356,IND48147,48147,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),SAD: Shiromani Akali Dal; BJP: Bharatiya Janata Party,6,,,0,60,Southern Asia,India,Punjab,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,3,Asian News International,National,"On 16 March, the Shiromani Akali Dal and Bhartiya Janata Party held joint protests across the state of Punjab against the Congress state government for failing to honour its commitments. [size=no report]",0,1552995118,IND
5018507,356,IND48149,48149,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),SAD: Shiromani Akali Dal; BJP: Bharatiya Janata Party,6,,,0,60,Southern Asia,India,Punjab,Amritsar,Amritsar,Amritsar,31.6344,74.8728,1,Asian News International,National,"On 16 March, the Shiromani Akali Dal and Bhartiya Janata Party held joint protests across the state of Punjab including Amritsar city against the Congress state government for failing to honour its commitments. [size=no report]",0,1552995118,IND
5018508,356,IND48150,48150,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),SAD: Shiromani Akali Dal; BJP: Bharatiya Janata Party,6,,,0,60,Southern Asia,India,Punjab,Bathinda,Bathinda,Bathinda,30.2108,74.9452,1,Asian News International,National,"On 16 March, the Shiromani Akali Dal and Bharatiya Janata Party held joint protests across the state of Punjab including Bathinda city against the Congress state government for failing to honour its commitments. [size=no report]",0,1552995118,IND
5018509,356,IND48151,48151,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),SAD: Shiromani Akali Dal; BJP: Bharatiya Janata Party,6,,,0,60,Southern Asia,India,Punjab,Gurdaspur,Gurdaspur,Gurdaspur,32.0393,75.4031,1,Asian News International,National,"On 16 March, the Shiromani Akali Dal and Bhartiya Janata Party held joint protests across the state of Punjab including Gurdaspur city against the Congress state government for failing to honour its commitments. [size=no report]",0,1552995118,IND
5018510,356,IND48153,48153,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),SAD: Shiromani Akali Dal; BJP: Bharatiya Janata Party,6,,,0,60,Southern Asia,India,Punjab,Jalandhar,Jalandhar,Jalandhar,31.3255,75.5791,1,Asian News International,National,"On 16 March, the Shiromani Akali Dal and Bhartiya Janata Party held joint protests across the state of Punjab including Jalandhar city against the Congress state government for failing to honour its commitments. [size=no report]",0,1552995118,IND
5018511,356,IND48154,48154,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),SAD: Shiromani Akali Dal; BJP: Bharatiya Janata Party,6,,,0,60,Southern Asia,India,Punjab,Ludhiana,Ludhiana,Ludhiana,30.912,75.8537,1,Asian News International,National,"On 16 March, the Shiromani Akali Dal and Bhartiya Janata Party held joint protests across the state of Punjab including Ludhiana city against the Congress state government for failing to honour its commitments. [size=no report]",0,1552995118,IND
5018512,356,IND48155,48155,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),SAD: Shiromani Akali Dal; BJP: Bharatiya Janata Party,6,,,0,60,Southern Asia,India,Punjab,Patiala,Patiala,Patiala,30.3362,76.3922,1,Asian News International,National,"On 16 March, the Shiromani Akali Dal and Bhartiya Janata Party held joint protests across the state of Punjab including Patiala city against the Congress state government for failing to honour its commitments. [size=no report]",0,1552995118,IND
5018513,356,IND48156,48156,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),SAD: Shiromani Akali Dal; BJP: Bharatiya Janata Party,6,,,0,60,Southern Asia,India,Punjab,Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar,Mohali,30.6799,76.7221,1,Asian News International,National,"On 16 March, the Shiromani Akali Dal and Bhartiya Janata Party held joint protests across the state of Punjab including Mohali city against the Congress state government for failing to honour its commitments. [size=no report]",0,1552995118,IND
5018514,356,IND48152,48152,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Teachers (India),6,,,0,60,Southern Asia,India,Chandigarh,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,1,Hindustan Times,National,"On 16 March, hundreds of teachers under the banner of the Chandigarh district council of the Punjab and Chandigarh College Teachers' Union (PCCTU) assembled at DAV College in Chandigarh city, to protest for resolution of their pending issues related to pay. [size=hundreds]",0,1552995118,IND
5018516,356,IND48157,48157,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Buddhist Group (India),6,,,0,60,Southern Asia,India,Jammu and Kashmir,Jammu,Jammu,Jammu,32.7357,74.8691,1,Early Times (India),Subnational,"On 16 Mar, residents of Zanskar tehsil in Kargil district staged a protest outside the Press Club in Jammu city (J&K), demanding that the area be upgraded to district status. The president of Ladakh Buddhist Association, Zanskar was in attendance. [size=dozens]",0,1552995118,IND
5018517,356,IND48160,48160,16-Mar-19,2019,1,Battles,Armed clash,Military Forces of India (2014-),Police Forces of India (2014-) Border Security Force,1,Military Forces of Pakistan (2018-),,8,18,Southern Asia,India,Jammu and Kashmir,Poonch,Mendhar,Mankote,33.6233,74.0561,2,Early Times (India),Subnational,"On 16 Mar, Indian and Pakistani forces exchanged shelling and small arms fire along the LoC in the Mankote sector area (Poonch, J&K).",0,1552995118,IND
5018518,356,IND48158,48158,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Students (India); Muslim Group (India),6,,,0,60,Southern Asia,India,Jammu and Kashmir,Srinagar,Srinagar North,Srinagar,34.0857,74.8056,1,Kashmir Images,National,"On 16 Mar, students staged a protest at the Islamia College in Srinagar city (J&K) against summoning of Hurriyat (M) chairman Mirwaiz Umar Farooq by the NIA, the banning of Jamaat-e-Islami and government interference in Islamic affairs. [size=scores]",0,1552995118,IND
5018519,356,IND48159,48159,16-Mar-19,2019,1,Violence against civilians,Attack,Unidentified Armed Group (India),,3,Civilians (India),Police Forces of India (2014-),7,37,Southern Asia,India,Jammu and Kashmir,Shopian,Shopian,Vehil,33.686,74.8643,1,Asian News International,National,"On 16 Mar, suspected militants shot dead a female off-duty SPO at her house in Vehil village (Shopian, J&K).",1,1552995118,IND
5018520,356,IND48161,48161,16-Mar-19,2019,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (India),,3,Military Forces of India (2014-),,1,13,Southern Asia,India,Jammu and Kashmir,Poonch,Mendhar,Mendhar,33.6104,74.1388,2,Kashmir Observer,Subnational,"On 16 Mar, a soldier was injured in a landmine explosion along the LoC in the Mendhar sector area (Poonch, J&K).",0,1552995118,IND
5018521,356,IND48162,48162,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,Southern Asia,India,Jammu and Kashmir,Kupwara,Karnah,Karnah,34.3928,73.8178,2,Kashmir News Service,Subnational,"On 16 Mar, locals staged a protest and shutdown in the Karnah tehsil area (Kupwara, J&K), demanding the construction of a tunnel at Sadhna Top. [size=no report]",0,1552995118,IND
5018522,356,IND48163,48163,16-Mar-19,2019,1,Battles,Armed clash,Unidentified Armed Group (India),,3,Military Forces of India (2014-) Rashtriya Rifles,Police Forces of India (2014-) Central Reserve Police Force; Police Forces of India (2014-) Special Operations Group,1,13,Southern Asia,India,Jammu and Kashmir,Kulgam,Kulgam,Frisal,33.7593,75.0413,2,United News of India; Daily Excelsior,Subnational-National,"On 16 Mar, suspected militants clashed with state forces during a joint RR, CRPF and SOG CASO at Tangibal village in the Frisal area (Kulgam, J&K). No injuries were reported.",0,1552995118,IND
5018523,356,IND48164,48164,16-Mar-19,2019,1,Riots,Mob violence,Rioters (India),,5,Military Forces of India (2014-),Police Forces of India (2014-),1,15,Southern Asia,India,Jammu and Kashmir,Pulwama,Pulwama,Drabgam,33.8203,74.8149,1,United News of India,National,"On 16 Mar, rioters clashed with state forces (assumed military and police) during a CASO in Drabgam village (Pulwama, J&K). [size=no report]",0,1552995118,IND
5018549,356,IND48139,48139,15-Mar-19,2019,1,Riots,Violent demonstration,Rioters (India),AGP: Asom Gana Parishad,5,Civilians (India),AGP: Asom Gana Parishad,7,57,Southern Asia,India,Assam,Jorhat,Jorhat,Jorhat,26.7456,94.2045,1,Telegraph (India),National,"On March 15, a section of AGP party workers vandalised the party office in Jorhat city (Jorhat, Assam), against the party's decision to renew its alliance with the BJP, before the Lok Sabha elections, to be held from April 11 to May 19. [size=nearly 100]",0,1552995118,IND
5018550,356,IND48134,48134,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party,6,,,0,60,Southern Asia,India,West Bengal,Kolkata,Kolkata,Kolkata,22.5728,88.3747,1,Telegraph (India),National,"On March 15, members of the BJP started a two-day dharna on Mayo Road in Kolkata city (Kolkata, West Bengal), with the banner of ""saving democracy"". The party demanded the Election Commission to declare all booths in the state ""super sensitive"". [size=no report]",0,1552995118,IND
5018551,356,IND48135,48135,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Assam,Lakhimpur,North Lakhimpur,North Lakhimpur,27.2351,94.1035,1,Sentinel (India),Subnational,"On March 15, members of the Anusuchita Jati Yuva Chatra Parishad staged a three hour long sit-in-protest in front of the Deputy Commissioner's office in North Lakhimpur city (Lakhimpur, Assam), demand the government to bring Scheduled Caste (SC) people under the Self Governance system. [size=no report]",0,1552995118,IND
5018552,356,IND48136,48136,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),TMC: Trinamool Congress Party,6,,,0,60,Southern Asia,India,West Bengal,Kolkata,Kolkata,Kolkata,22.5728,88.3747,1,Telegraph (India),National,"On March 15, members of the Trinamul women's wing started a two-day dharna at Esplanade in Kolkata city (Kolkata, West Bengal), to protest the BJP's demand to the Election Commission to declare all booths in the state ""super sensitive"". [size=no report]",0,1552995118,IND
5018553,356,IND48137,48137,15-Mar-19,2019,1,Riots,Mob violence,Rioters (India),Vigilante Group (India),5,Civilians (India),Teachers (India),7,57,Southern Asia,India,Assam,Biswanath,Gohpur,Gohpur,26.8818,93.6156,1,Time8,Subnational,"On March 15, locals assaulted the school headmaster of Kuwarigarh Lps School in Chaidpur area in Gohpur city (Biswanath, Assam), for molesting one of his female students inside the school campus. [size=no report]",0,1552995118,IND
5018554,356,IND48138,48138,15-Mar-19,2019,1,Violence against civilians,Attack,Unidentified Armed Group (India),,3,Civilians (India),Kashmiri Communal Group (India); Labour Group (India),7,37,Southern Asia,India,West Bengal,Kolkata,Kolkata,Kolkata,22.5728,88.3747,1,United News of India,National,"On March 15, a Kashmiri shawl trader was beaten up and robbed by an unidentified men at Park Circus in Kolkata city (Kolkata, West Bengal). He claimed the youth attacked him with a knife after he showed him his identity.",0,1552995118,IND
5018562,356,IND48107,48107,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),AISF: All India Students Federation; Students (India),6,,,0,60,Southern Asia,India,Tamil Nadu,Salem,Salem,Salem,11.6511,78.1586,1,The Hindu,National,"On 15 Mar, in Salem (Salem, TN), students and the AISF staged a protest at the Government Arts College premises demanding action against the perpetrators of the Pollachi sexual abuse case and condemning the State government and the police for not providing necessary security for women affected in the case. [size=300]",0,1552995118,IND
5018563,356,IND48109,48109,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),CPI: Communist Party of India,6,,,0,60,Southern Asia,India,Tamil Nadu,Salem,Salem,Salem,11.6511,78.1586,1,The Hindu,National,"On 15 Mar, in Salem (Salem, TN), members of the CPI staged a protest in front of the Collectorate demanding transparent investigation and speedy trial in the Pollachi sexual abuse case. [size=no report]",0,1552995118,IND
5018564,356,IND48111,48111,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),DMK: Dravida Munnetra Kazhagam,6,,,0,60,Southern Asia,India,Tamil Nadu,Tiruppur,Udumalaipettai,Udumalaipettai,10.587,77.2444,1,Times of India,National,"On 15 Mar, near Udumalaipettai (Tiruppur, TN), various political parties of the DMK-led alliance staged a protest in front of Udumalpet bus stand demanding action against the perpetrators of the Pollachi sexual abuse case. [size=150]",0,1552995118,IND
5018565,356,IND48105,48105,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),DMK: Dravida Munnetra Kazhagam; MDMK: Marumalarchi Dravida Munnetra Kazhagam; VCK: Viduthalai Chiruthaigal Katchi; SDPI: Social Democratic Party of India,6,,,0,60,Southern Asia,India,Tamil Nadu,Coimbatore,Pollachi,Pollachi,10.6582,77.0085,2,The Hindu,National,"On 15 Mar, in Pollachi tehsil (Coimbatore, TN), women's organisations, including the DMK, MDMK, VCK, Social Democratic Party of India, and others, formed a human chain from Gandhi Statue to Mahalingapuram arch demanding action against the perpetrators of the Pollachi sexual abuse case. [size=no report]",0,1552995118,IND
5018566,356,IND48101,48101,15-Mar-19,2019,2,Riots,Violent demonstration,Rioters (India),DVK: Dravidar Viduthalai Kazhagam,5,Police Forces of India (2014-),,1,15,Southern Asia,India,Puducherry,Puducherry,Puducherry,Puducherry,11.9338,79.8297,1,United News of India,National,"Assumed on 15 Mar, in Puducherry, volunteers of Dravidar Viduthaial Kazhagam (DVK) staged a road blockade on the Anna Saalai condemning the police for protecting the accused in the Pollachi sexual abuse case. Police arrested 100 demonstrators. [size=100]",0,1552995118,IND
5018567,356,IND48108,48108,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Lawyers (India); DMK: Dravida Munnetra Kazhagam,6,,,0,60,Southern Asia,India,Tamil Nadu,Salem,Salem,Salem,11.6511,78.1586,2,The Hindu,National,"On 15 Mar, in Salem area (Salem, TN), members of lawyers' association affiliated with the DMK staged a protest on the court premises demanding justice for Pollachi sexual abuse case victims. [size=no report]",0,1552995118,IND
5018568,356,IND48104,48104,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Muslim Group (India); TMMK: Tamil Nadu Muslim Munnetra Kazhagam,6,,,0,60,Southern Asia,India,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore,11.0055,76.9661,2,The Hindu,National,"On 15 Mar, in Coimbatore area (Coimbatore, TN), the Tamil Nadu Muslim Munnetra Kazhagam (TMMK) staged a protest in Athupalam demanding action against the perpetrators of the Pollachi sexual abuse case. [size=250]",0,1552995118,IND
5018569,356,IND48102,48102,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore,11.0055,76.9661,1,The Hindu,National,"On 15 Mar, in Coimbatore (Coimbatore, TN), students of the Government Arts College formed a human chain demanding fair investigation and action against the perpetrators of the Pollachi sexual abuse case. [size=200]",0,1552995118,IND
5018570,356,IND48106,48106,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Tamil Nadu,Madurai,Madurai,Madurai,9.9174,78.1196,1,Times of India,National,"On 15 Mar, in Madurai (Madurai, TN), students of the American College staged a sit-in protest condemning the Pollachi sexual abuse case and demanding action against the perpetrators. Police personnel were deployed but there was no report of physical contact. [size=no report]",0,1552995118,IND
5018571,356,IND48110,48110,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Tamil Nadu,Tiruppur,Udumalaipettai,Udumalaipettai,10.587,77.2444,2,Times of India,National,"On 15 Mar, in Udumalaipettai tehsil (Tiruppur, TN), students of Sri GVG Visalakshi College for Women, Udumalpet Arts College, and Vidyasagar college of arts and science, staged protests separately for the second consecutive day, demanding action against the perpetrators of the Pollachi sexual abuse case. Police personnel were deployed at the campuses to stop entry of any students into the college. [size=no report]",0,1552995118,IND
5018572,356,IND48112,48112,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Telangana,Hyderabad,Hyderabad,Hyderabad,17.384,78.4563,1,Deccan Chronicle; Times of India,National,"On 15 Mar, in Hyderabad (Hyderabad, Telangana), students staged a protest at the KBR Park to join the global movement against climate change. [size=300 to 524]",0,1552995118,IND
5018573,356,IND48099,48099,15-Mar-19,2019,1,Protests,Protest with intervention,Protesters (India),Students (India); SFI: Students Federation of India,6,Police Forces of India (2014-),,1,16,Southern Asia,India,Tamil Nadu,Pudukkottai,Pudukkottai,Pudukkottai,10.3812,78.8214,1,Times of India; Asian News International,National,"On 15 Mar, in Pudukkottai (Pudukkottai, TN), a police superintendent slapped and beat up an SFI student after an altercation during a demonstration in front of Government Arts College for Women against the Pollachi sexual abuse case. The student suffered abdomen injuries. Police took him to custody and forcibly detained the others, mostly women. [size=no report]",0,1552995118,IND
5018574,356,IND48116,48116,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Students (India); SFI: Students Federation of India,6,,,0,60,Southern Asia,India,Tamil Nadu,Pudukkottai,Pudukkottai,Pudukkottai,10.3812,78.8214,1,Times of India; Asian News International,National,"On 15 Mar, in Pudukkottai (Pudukkottai, TN), students blocked the Pudukottai-Trichy road and surrounded police vehicles demanding the release of a colleague who was taken by the police during a demonstration against the Pollachi sexual abuse case. Police later released the students who then dispersed. [size=no report]",0,1552995118,IND
5018575,356,IND48114,48114,15-Mar-19,2019,2,Riots,Mob violence,Rioters (India),Teachers (India); Vigilante Group (India),5,Civilians (India),Tribal Group (India); Students (India),7,57,Southern Asia,India,Telangana,Nalgonda,Miryalaguda,Miryalaguda,16.8603,79.5335,1,Times of India,National,"Between 14-15 Mar, in Miryalgunda (Nalgonda, Telangana), three tribal community students were injured after they were assaulted by four people, including teachers of the Mount Carmel High School, over the former's eve teasing of one of the assailants' daughter. The source did not mention the nature of injury. [size=4]",0,1552995118,IND
5018576,356,IND48103,48103,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),TNTJ: Tamil Nadu Towheed Jamaath; Muslim Group (India),6,,,0,60,Southern Asia,India,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore,11.0055,76.9661,2,The Hindu,National,"On 15 Mar, in Coimbatore area (Coimbatore, TN), Tamil Nadu Towheed Jamaath led by the district president staged a protest in front of the South Taluk office demanding justice for the victims of the Pollachi sexual abuse case. [size=600]",0,1552995118,IND
5018577,356,IND48100,48100,15-Mar-19,2019,2,Violence against civilians,Attack,Unidentified Armed Group (India),,3,Civilians (India),"YSRCP: Yuvajana, Sramika, Rythu Congress Party; Former Government of India (2014-)",7,37,Southern Asia,India,Andhra Pradesh,Kadapa,Pulivendula,Pulivendula,14.424,78.2261,1,Indo-Asian News Service,National,"Between 14-15 Mar, in Pulivendula town (Kadapa, AP), a YSRCP member and former State Minister was found dead in his residence. Preliminary investigations by police treat the case as murder by unidentified assailants. [size=no report]",1,1552995118,IND
5018578,356,IND48113,48113,15-Mar-19,2019,1,Riots,Mob violence,Rioters (India),,5,Civilians (India),Labour Group (India),7,57,Southern Asia,India,Telangana,Medak,Sangareddi,Sangareddi,17.6294,78.0917,2,Asian News International,National,"On 15 Mar, in Sangareddi area (Medak, Telangana), a toll plaza employee was attacked with slippers by unidentified rioters for unknown reasons. [size=no report]",0,1552995118,IND
5018579,356,IND48118,48118,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),AAP: Aam Aadmi Party; Government of India (2014-),6,,,0,60,Southern Asia,India,NCT of Delhi,New Delhi,,Delhi-New Delhi,28.6357,77.2244,1,Indian Express,National,"On 15 March, AAP workers led by Deputy Chief Minister Manish Sisodia, sat on a protest outside the Election Commission in New Delhi alleging that raids were being conducted on call centres hired by the party to make people aware that their names had been deleted from the voters' lists. [size=no report]",0,1552995118,IND
5018580,356,IND48121,48121,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),BKU: Bharatiya Kisan Union; Farmers (India),6,,,0,60,Southern Asia,India,Punjab,Bathinda,Bathinda,Bathinda,30.2108,74.9452,1,Chandigarh Tribune,Subnational,"On 15 March, farmers under the banner of the BKU (Ekta Ugrahan) continued their protest for the fourth day in front of Co-operative Agriculture Development Bank in Bathinda town (Punjab). They are demanding the release of blanks cheques submitted for loans.[size=no report]",0,1552995118,IND
5018581,356,IND48098,48098,15-Mar-19,2019,1,Riots,Mob violence,Rioters (India),BSP: Bahujan Samaj Party,5,Civilians (India),INC: Indian National Congress; Former BSP: Bahujan Samaj Party,7,57,Southern Asia,India,Madhya Pradesh,Damoh,Hatta,Hatta,24.134,79.6011,2,Hindustan Times,National,"On 15 March, a former Bahujan Samaj Party (BSP) leader who had recently joined the Congress Party was killed and son critically injured in an attack by a group of people armed with iron rods and baseball bats assumed in Hata tehsil area (Damoh, MP). BSP members are among the 6 suspects in the attack. [size=6]",1,1552995118,IND
5018582,356,IND48122,48122,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Labour Group (India),6,,,0,60,Southern Asia,India,Punjab,Ludhiana,Ludhiana,Ludhiana,30.912,75.8537,1,Chandigarh Tribune,Subnational,"On 15 March, protestors of the Rashtriya Valmikan Dharam Samaj held a protest outside residence-cum-camp office of Mayor Balkar Singh Sandhu in Ludhiana city (Punjab). They are demanding the regularisation of jobs of contractual employees, including sweepers, sewer men. [size=no report]",0,1552995118,IND
5018583,356,IND48115,48115,15-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Lawyers (India),6,,,0,60,Southern Asia,India,Chandigarh,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,1,Chandigarh Tribune,National,"On 15 March, lawyers of the Punjab and Haryana High Court staged a protest on the Sukhna Lake road in Chandigarh city after they were challenged for speeding. [size=no report]",0,1552995118,IND
5018584,356,IND48120,48120,15-Mar-19,2019,1,Riots,Violent demonstration,Rioters (India),Lawyers (India),5,Civilians (India),Lawyers (India),7,57,Southern Asia,India,Punjab,Bathinda,Bathinda,Bathinda,30.2108,74.9452,1,Chandigarh Tribune,Subnational,"On 15 March, lawyers staged a demonstration outside the District Courts Complex in Bathinda town (Punjab). One advocate from the demonstrating group attacked an advocate from another group resulting in injuries. They lawyers were demanding office spaces on court premises. [size=no report]",0,1552995118,IND
