title|location|date|body
Prayers before polls|Tirunelveli|April 01, 2019 00:00 IST|  Whenever she happened to pass by the Kotturpuram Vinayakar Temple in Chennai, late Chief Minister Jayalalithaa’s vehicle would halt for a couple of minutes in front of the shrine, and the AIADMK supremo would pray in silence for a while before leaving the spot. Her followers in Tirunelveli espouse this sentiment even now, as they would always start their election campaign only after offering prayers at Sri Eesaana Vinayakar Temple on East Car Street in Tirunelveli town. Even though AMMK leader T.T.V. Dhinakaran fielded candidates in all Lok Sabha constituencies after parting ways with the AIADMK, his party has not done away with the ‘prayer sentiment’. The AMMK candidate for the Tirunelveli Lok Sabha segment, S. Michael Rayappan — a Roman Catholic — started his election campaign only after offering special prayers at Sri Eesaana Vinayakar Temple, sporting holy ash on his forehead.

‘Christian missionaries’ contribution to Tamil immense’|MADURAI|April 01, 2019 00:00 IST|The contribution of Christian missionaries to Tamil language and taking education to all sections of the society were immense, said P. Nedumaran, president, Tamil Desiya Iyakkam here on Sunday. Speaking at a discussion organised by St. Joseph Catholic Youth Movement, he said that education was once accessible to only those belonging to upper castes and particularly men. “It due to the Christian missionaries and the institutions run by them that education became accessible to all,” he said, adding that he himself studied in such institutions. Similarly, he pointed out the contributions made by missionaries like Veeramamunivar (Constantine Joseph Beschi) and G.U. Pope to Tamil. Apart from translating texts like Tirukkural, he said that these missionaries also helped in significantly improving the style of writing in Tamil. “Majority of the books first printed in Tamil were by the missionaries,” he said. Expressing concern over the cash for votes phenomenon, he said that people selling their votes impacted the whole society since wrong people get elected because of their choice. “However, the power to change is also with the people,” he said. Madurai Archbishop and president of Tamil Nadu Bishops’ Council Antony Pappusamy, in his inaugural address, highlighted that roughly seven crore youngsters were to vote in the upcoming elections. “If they exercise their choice rightly, we can expect a change and transformation in the society,” he said. R. Kaleeswaran from Loyola College, and John Moses from Janata Dal (Secular) also spoke.

Cases booked for violation of code|THANJAVUR|April 01, 2019 00:00 IST|The Tamil University police have booked cases against cadre of two political parties for establishing election offices for their candidates without obtaining permission from the election wing. On receipt of complaints that cadre of the AIADMK and the Amma Makkal Munnetra Kazhagam had set up election offices on Nanjikottai Salai, Block Development Officer, Thanjavur, carried out an inspection and lodged a complaint of poll code violation. Pledge support Members of AITUC Tamil Nadu, Civil Supplies Corporation Employees Association and Unskilled Workers Association have extended their support to candidates fielded by the Secular Progressive Alliance in Tamil Nadu in the forthcoming election. A resolution to this effect was passed at the State-level executive committee meeting chaired by AITUC State president A.Samikkannu. The associations resolved to dethrone the BJP government at the Centre and the AIADMK government in the State. The associations also demanded release of Pongal bonus on time and disbursement of DA arrears.  Plea for promotion The Tamil Nadu Radiological Assistants Association has demanded that dark room radiological assistants be promoted as radiologists. A resolution adopted at the association’s State executive committee meeting here on Sunday urged the government to promote technicians with diploma in radiology course and serving as dark room assistants for several years in government hospitals as radiologists. Assurance Officials assured residents of Sithathikadu in Peravurani taluk at a peace meeting on Sunday that water supply will resume from Monday and the same problem at Kondraikadu will be solved within a week. They convened a meeting at the Peravurani Panchayat Union office after the Communist Party of India (Marxist) had announced that a demonstration would be held at Sithathikadu and Kondraikadu on April 1. Officials also assured that power connection would be restored at Sithathikadu.

Tipparaju Hawaldar’s supporters angry|RAICHUR|April 01, 2019 00:00 IST| The row over the denial of ticket from the Raichur Lok Sabha Constituency to the former Raichur Rural MLA Tipparaju Hawaladar by the Bharatiya Janata Party (BJP) flared up when his angry followers on Sunday gathered at his residence in the city and expressed strong disapproval of the party’s decision to give ticket to Raja Amareshwar Naik.

BJP, a betrayer: Mutharasan|THANJAVUR|April 01, 2019 00:00 IST|R.Mutharasan, State secretary, Communist Party of India, on Saturday charged the Bharatiya Janata Party government at the Centre with permitting the Congress government at Karnataka to prepare a detailed project report for construction of a dam across the Cauvery at Mekedatu. Addressing a rally here to solicit votes for candidates of his front, he termed the BJP as the betrayer of Tamil Nadu in several issues such as hydrocarbon, NEET and Cauvery Seeking votes for former Union Minister S.S.Palanimanickam (Thanjavur Lok Sabha constituency) and T.K.G.Neelamegam (Thanjavur Assembly constituency), he said the BJP government had stated in the Supreme Court that it would not be possible to grant exemption from NEET to Tamil Nadu. As for the hydrocarbon issue, the BJP pursued its agenda despite giving hope to the public that the project would be shelved. While State-level office-bearers of BJP were declaring that the party was against the Karnataka government’s proposal on Mekedatu issue, their leadership at the Centre had not prevented the Karnataka’s bid to block flow of the Cauvery into Tamil Nadu. “The BJP’s Tamil Nadu State leader claims that giving permission to prepare the DPR cannot be construed as permission to go ahead with the project but even political novices know that DPR is the first step for implementing a project,” he said. Explaining the reason for opposition parties terming the BJP as a fascist force, he said that in the last four and half years those raising voice against the authoritarian approach of the government at the Centre or at the State were booked under the National Security Act and other stringent laws.

31brief2|Vijayawada|April 01, 2019 00:00 IST|  BJP State president Kanna Lakshminarayana sent a legal notice to AP Planning Board Vice Chairman C. Kutumba Rao seeking unconditional apology for his remarks against him that he would pay Rs. 10 lakh to the BJP State president if he managed to get the deposit in the election.

Water level|Tirunelveli|April 01, 2019 00:00 IST|  Water level in Papanasam dam on Sunday stood at 31.60 ft (permissible level is 143 ft) with an inflow of 40.63 cusecs and a discharge of 204.75 cusecs. The level in Manimuthar dam was 81.44 ft (118 ft) with an inflow of 2 cusecs and a discharge of 100 cusecs.

Prayers before polls|Tirunelveli|April 01, 2019 00:00 IST|  Whenever she happened to pass by the Kotturpuram Vinayakar Temple in Chennai, late Chief Minister Jayalalithaa’s vehicle would halt for a couple of minutes in front of the shrine, and the AIADMK supremo would pray in silence for a while before leaving the spot. Her followers in Tirunelveli espouse this sentiment even now, as they would always start their election campaign only after offering prayers at Sri Eesaana Vinayakar Temple on East Car Street in Tirunelveli town. Even though AMMK leader T.T.V. Dhinakaran fielded candidates in all Lok Sabha constituencies after parting ways with the AIADMK, his party has not done away with the ‘prayer sentiment’. The AMMK candidate for the Tirunelveli Lok Sabha segment, S. Michael Rayappan — a Roman Catholic — started his election campaign only after offering special prayers at Sri Eesaana Vinayakar Temple, sporting holy ash on his forehead.

Vote for ‘Mango,’ vote for development, says PMK|April 01, 2019 00:00 IST|April 01, 2019 00:00 IST|If the PMK getting the Chennai Central Lok Sabha constituency in the AIADMK-led mega alliance was a surprise, the party announcing Sam Paul, an entrepreneur, came as another surprise. Unfazed by the track record of the DMK and the Marans in the constituency, Mr. Paul began his campaign early on Sunday from Wall Tax Road in the harbour area. With a sizable north Indian population, Mr. Paul chose the development plank for his campaign.“For development, please vote for the AIADMK-BJP alliance,” he told voters. With the electorate comprising Hindi, Tamil and Telugu-speaking people, the PMK candidate resorted to a multi-lingual campaign. Speaking in the three languages, persons campaigning on behalf of Mr. Paul sought votes as his vehicle passed through the narrow Mint Street, Amman Koil Street and other lanes in the area. Highlighting that there was no corruption under Prime Minister Narendra Modi at the Centre, Mr. Paul promised that he would be accessible to the people. Mango parade As he drove down the narrow lanes, he was surrounded by supporters holding Mango — the PMK’s symbol. “People get confused with the symbol. Summer is coming. Mango is your symbol. Keep this in mind,” his spokesperson said, much to the delight of the crowds, who watched the campaign from their terraces. Asked about the campaign in Hindi, Mr. Paul said that it was because of the target audience. “I’m pro-Tamil. I’m also against forcible imposition of Hindi,” he added. He also said the focus would be on attracting more investments and increasing the tourism potential in the city. AIADMK leaders N. Balaganga and S.R. Vijaykumar were present during the campaign. In the evening, Mr. Paul campaigned in the Thousand Lights area. Singer T.K. Kala campaigned for him and slammed the DMK-Congress alliance and urged people not to vote for it.

Stalin says DMK secured Cauvery water|VELLORE|April 01, 2019 00:00 IST|Dravida Munnetra Kazhagam president M.K. Stalin on Sunday took a dig at Chief Minister Edappadi Palaniswami’s remarks on the DMK’s role in handling the Cauvery issue. In his election campaign to seek votes for Vellore Lok Sabha candidate D.M. Kathir Anand and Arakkonam candidate S. Jagathrakshakan, Mr. Stalin said it was the DMK that played a pivotal role in securing 205 tmc feet of Cauvery water, setting up of the Cauvery Water Tribunal and following up the issue till it reached the distribution level. It was the Modi-led BJP government that that didn’t object to Karnataka’s plan to construct a dam at Mekedatu, Mr. Stalin charged. He reiterated that his party, if voted to power, would write off crop loans of all farmers.

‘Vasanthakumar trying to block development projects’|Nagercoil|April 01, 2019 00:00 IST|BJP candidate Pon. Radhakrishnan on Sunday said that Congress candidate H. Vasanthakumar was trying to block development projects intended for creating jobs for the youth. “Last time, the people made me win with a margin of over 1,28,000 votes. I brought projects worth Rs. 40,000 crore for the district, unlike any other constituency in the country," he said during a campaign at Azhagiyamandapam. He said that Congress candidate H. Vasanthakumar was creating hurdles for making employment for the youth by vowing not to allow setting up of the transshipment terminal, despite making similar promises in the previous elecion. “There is no need for the MP post, if no development is brought here,” he said. He said he wanted to bring welfare to the fishers. Even as he was facing his eighth election and has lost five before, he has stayed in the district, he said, adding that Mr. Vasanthakumar and his brother, Kumari Ananthan, had left the district. Further, Mr. Radhakrishnan said the Election Commission should monitor cash being distributed by his rivals.

Youth collective goes on campaign trail in support of Dravidian politics|CHENNAI|April 01, 2019 00:00 IST|Young students and working professionals have come together to campaign for the DMK and Thamizhachi Thangapandian, the party’s candidate for the Chennai South Lok Sabha constituency. Beginning their trail in Mylapore, Stalin Jacob, a volunteer, said all of them were united in their support for Dravidian politics, which was best represented by the DMK at present. “Over the last few years, we feel that our individual rights and freedom have been encroached upon. Lending our support to the DMK, we have decided to canvass for Ms. Thangapandian by meeting the residents through a door-to-door campaign,” he said. Objecting to Tamil Nadu students being subjected to the National Eligibility-cum- Entrance Test and the growing imposition of Hindi, Mr. Stalin said over 50 volunteers had come together to voice their opposition to the current governments at the Centre and the State. Website launched Before they began the campaign, the group also launched the candidate’s official campaign website,www.ithamizhachi.comThis, they said, was a decision taken by Ms. Thangapandian as she felt it was important to focus on the youth, who were catalysts of change. “I know several youngsters who are cynical about politics and I’ve thought so myself too. But we need to look at the issues plaguing our State, right from the educational policies to women’s safety, and come together to make informed choices,” said Diana, another volunteer. Stating that he belonged to a generation that had enjoyed the benefits offered by the DMK government, Vijay Mohan, an IT professional from Perungudi, said that the party’s ideology resonated with his. “This campaign is our way of giving back to the DMK. We hope the next generation too gets to enjoy the benefits that we derived in the past during the DMK rule,” said Thanga Karthik, a researcher.

‘Mettur Dam surplus water scheme will be implemented’|Salem|April 01, 2019 00:00 IST|Anbumani Ramadoss, who is seeking re-election from the Dharmapuri Lok Sabha constituency, promised that the Mettur Dam surplus water scheme will be implemented if he wins in the upcoming elections. The Pattali Makkal Katchi leader Dr. Anbumani campaigned at Chinthamaniyur and nearby areas that fall under the Dharmapuri Lok Sabha constituency here on Sunday. Dr. Anbumani promised that he would ensure welfare schemes introduced by the State and Central Governments be implemented in the constituency. Campaigning for Dr. Anbumani, AIADMK MLA S. Semmalai said that once the Godavari-Cauvery river linking project is implemented, Mettur Dam would 200 tmc of surplus water which in turn would be utilised to fill 98 lakes here.

Four held for possession of country pistols|TIRUCHI|April 01, 2019 00:00 IST|Four persons were arrested in Perambalur district in the late hours of Saturday for the illegal possession of country-made pistols with live rounds. Acting on inputs provided by the Organised Crime Intelligence Unit, a police team intercepted a couple of two-wheelers on which four persons were travelling. The police gave their names as Dharmendrakumar Das, 34, Deepak, 32, both from Bihar, and Jaishankar alias Jayachandran, 34, and Kannadasan, 32, from Ammapalayam in Perambalur district. The police found a couple of country pistols with 15 rounds in the possession of Jaishankar and Dharmendrakumar and arrested them along with the two others. Police sources said Dharmendrakumar Das worked as a sweeper at a private rubber factory in Perambalur, while Deepak was a mason. The duo who had been living in a rented room in Perambalur, were acquainted with Jayachandran, since he knew Hindi. Sources said a team was in pursuit of another accomplice. The Perambalur Town police have registered a case under the Arms Act .

10-year-old boy drowns in lake|HOSUR|April 01, 2019 00:00 IST|A 10-year-old boy drowned in Gurubarachappadi lake near Shoolagiri when he went there to bathe along with his friends on Sunday. The victim has been identified as Nandakumar, a Class V student. The body was retrieved by Shoolagiri police and sent to the Hosur Government Hospital for autopsy.

‘Stalin cannot find fault with AIADMK government’|THANJAVUR|April 01, 2019 00:00 IST|AIADMK co-coordinator and Chief Minister Edappadi K.Palaniswami on Sunday said that DMK president M.K.Stalin was making “frivolous statements” during campaign, an outcome of “election trauma.” Mr. Stalin was behaving in a childish way since the State government could not be faulted on any issue, the Chief Minister said while campaigning at Kumbakonam for AIADMK candidate S.Asaithambi fielded in Mayiladuthurai Parliamentary constituency. The Chief Minister ridiculed the reported statement of Mr. Stalin challenging the Income Tax Department to conduct raids on the house of Prime Minister Narendra Modi while speaking at Hosur. “Mr. Stalin had equated me with earthworm. I accept it. The earthworm is useful to farmers. His statement implies I am a friend of farmers. But, Mr. Stalin is a virus who deserves to be eradicated from politics, just as pests are destroyed to save crops,” he said. Later, he addressed the public at Kizhavasal area in Thanjavur to seek votes for N.R. Natarajan, Tamil Maanila Congress (Moopanar) candidate for the Thanjavur Parliamentary Constituency, and the AIADMK nominee for the by-election to the Thanjavur Assembly segment, R.Gandhi. He said that the AIADMK had opposed the Triple Talaq Bill in Parliament and the AIADMK government had implemented various welfare measures for minority communities. While addressing a gathering near Medical College Hospital, he assailed the DMK for not securing any worthwhile project when it was in power.

IG opens fire in air, relieved from poll duty|April 01, 2019 00:00 IST|April 01, 2019 00:00 IST|He later took a flight from Tiruchi. Based on a complaint by Manibalan, the Ariyalur police booked a case against Mr. Kalson under Section 336 (negligent action to endanger human life) of Indian Penal Code. When asked whether the IPS officer was inebriated when the incident took place, a senior police officer toldThe Hinduthat an investigation was on. Though none was injured, the officer acted negligently endangering human life. An Revenue Divisional Officer-level enquiry has been ordered. In a related move, the EC on Sunday appointed Siddaramappa, an IPS belonging to Karnataka, as the Police Observer to the Chidambaram constituency in the place of Mr. Kalson.

‘Blue Mountains’ beset by land issues, jobs and infrastructure crunch|UDHAGAMANDALAM|April 01, 2019 00:00 IST|Land resettlement issues, lack of job opportunities for locals and concerns over the available infrastructure to cater to the ever-growing tourism industry are among the pressing issues the next Nilgiris MP will have to grapple with. Encompassing six Assembly segments across four districts – three in the Nilgiris (Udhagamandalam, Coonoor and Gudalur) and one each in Erode (Bhavani Sagar), Coimbatore (Mettupalayam) and Tirupur (Avinashi), the reserved constituency has a population as diverse as the issues it faces. Repatriates from Sri Lanka of recent Indian origin live and work alongside resident Badagas – the majority population, while the district is also home to a number of recognised tribal groups, including Todas, Kotas, Irulas, Kurumbas, Kattunayakans and Paniyas. The Nilgiris district’s economy, which has long been dependent on tea, tourism and agriculture, is at a crossroads, with tea estates no longer profitable and residents, especially in the headquarters in Udhagamandalam, becoming increasingly dependent on the tourism and hospitality sector for jobs. The crisis in the tea industry and the subsequent growth of the tourism sector has resulted in a rapidly changing ecological landscape, with picturesque vistas of tea estates gradually diminishing as a result of the construction of cottages and properties to service visitors to the “blue mountains”. Urban infrastructure has been unable to keep pace with the tourist traffic, requiring immediate attention and perhaps even a rethink of the district’s tourism model. Venugopal Dharmalingam, honorary director, Nilgiri Documentation Center, said the “unique hills are at a crucial juncture” and, over the last three decades, the district has been “systematically destroyed” by global and national developments. “The local economy is in a shambles. Tea and agriculture are stagnant. The youth are unemployed or underemployed. The indigenous culture is dying fast, while the towns are suffocating and choking,” he said. Special status must be conferred on the Nilgiris to “bring the necessary planning, funding and administration to build a world-class hill station and address local issues.” The locals have long demanded the setting up of a multi-speciality hospital, with many calling for the conversion of the now-defunct Hindustan Photo Films Limited factory into a hospital and medical college. In case of medical emergencies, residents are now having to rely on healthcare facilities in Coimbatore or Kerala. Another long-standing issue is the non-settlement of claims made by people living on lands classified under Section 17 of the Gudalur Janmam Estates (Abolition and Conversion into Ryotwari) Act of 1969. This has led to a lack of development in these areas, populated by tens of thousands of daily-wage workers, most of whom earn a living working in tea and coffee estates in Gudalur and Pandalur. Voting patterns Former Telecom Minister and DMK candidate A. Raja, who represented the Nilgiris during 2009-14, has stated in his campaign rallies that settling the long-pending claims to land titles would be among the party’s priorities. Voting patterns have been mixed over the last 30 years, prior to which the Congress preformed strongly here. In 2014, Mr. Raja was defeated by the AIADMK’s C. Gopalakrishnan, who capitalised on the allegations against Mr. Raja in the 2G spectrum case. Past winners include the Congress’ R. Prabhu in 2004, who was elected MP from Nilgiris (when it was a general constituency) five times since 1980, and the BJP’s Master Mathan in 1998 and 1999. TMC leader S.R. Balasubramaniyan (now AIADMK Rajya Sabha MP) was elected from here in 1996. Mr. Raja is currently the most recognisable candidate. He faces competition from the AIADMK’s M. Thiyagarajan. Mr. Raja, who retains goodwill among residents for his work to get the district back on its feet following the floods in 2009, will be keen to cash in on the support the DMK usually gets from Udhagamandalam, Coonoor and Gudalur, while also focussing on issues facing voters in Bhavani Sagar, Mettupalayam and Avinashi. MNM candidate N. Rajendran and the AMMK’s M. Ramaswami are also in the fray, and have made some attention-grabbing poll promises, including enacting land reform measures and strengthening tourism infrastructure.

26 injured as bus falls off flyover|Coimbatore|April 01, 2019 00:00 IST|Twenty-six passengers were injured when a Kerala State Transport Corporation bus fell of a flyover near Mangalam Bypass on Coimbatore-Salem highway in the small hours of Sunday. According to the Avinashi Police, Jaison, the driver of the bus that was on its way from Pattanamthitta to Bengaluru, lost control of the vehicle allegedly because he fell asleep behind the wheels. The vehicle veered towards the flyover parapet, smashed through it and fell down to the ground below. In the impact of the fall, all the 26 passengers passengers, including two children - Krishnanda (4) and Akshaya (7) – sustained injuries and were rushed to various hospitals in Tiruppur and Coimbatore after first aid at the Government Hospital, Avinashi. The Police and Fire and Rescue Services personnel rescued the driver, who sustained a fracture on his leg. They also took the help of the people living the vicinity to help the passengers exit the vehicle.  Influence of alchol The Police said they were checking if the driver drove the vehicle under the influence of alcohol.

Myopic move, says Vijayan|April 01, 2019 00:00 IST|April 01, 2019 00:00 IST|Kerala Chief Minister Pinarayi Vijayan said on Sunday that the Congress’s decision to field Rahul Gandhi in Wayanad smacked of political myopia. He said the candidature made it seem suddenly that the Left was the main opponent of the Congress, and not the BJP. The Congress had lost sight of its stated enemy, the Sangh Parivar. Mr. Vijayan said minority votes would not go to Mr. Gandhi.PAGE 6

Residents’ association installs 16 CCTV cameras|UDHAGAMANDALAM|April 01, 2019 00:00 IST|The Greenfields Welfare Association in Udhagamandalam, which has been working towards ensuring more effective delivery of basic services for residents in the area, unveiled a network of 16 Closed Circuit Television (CCTV) cameras to help them with keeping the area secure. At an event organised at a school in the area, Ooty Town Deputy Superintendent of Police P.M. Thangavel, who was the chief guest at the event, said that the CCTV cameras installed in the area would lessen the workload of the town police. “The newly-installed cameras will ensure better vigilance about the movement of people in the area, and consequently, prevent crimes,” said Mr. Thangavel, adding that he hoped the residents could get together and install even more cameras in the area in the future. “The Nilgiris district police are always here to help and assist the residents to make the community safer,” said the DSP. The members said that they had been working over the last couple of years to ensure that residents have access to clean drinking water and that other services, like repairs on leaky drains are carried out by the municipality.

26 injured as bus falls off flyover|Coimbatore|April 01, 2019 00:00 IST| Twenty-six passengers were injured when a Kerala State Transport Corporation bus fell off a flyover near Mangalam Bypass on Coimbatore-Salem highway in the small hours of Sunday.

Lok Sabha polls will decide destiny of the nation: Vaiko|PUDUCHERRY|April 01, 2019 00:00 IST|Marumalarchi Dravida Munnetra Kazhagam general secretary Vaiko on Sunday said the upcoming Lok Sabha election would decide whether democracy will prevail or fascism would take centre stage in the country. Canvassing votes for Congress candidate for Lok Sabha polls V. Vaithilingam and DMK candidate K. Venketasan for Thattanchavady byelection, Mr. Vaiko said the parliamentary polls would decide the destiny of the nation. Since the Narendra Modi-led National Democratic Alliance came to power at the Centre in 2014, the secular and democratic values of the country had taken a beating. Intolerance towards minority communities and progressive thinking people had gone up after the BJP came to power at the Centre, he said. The Centre had disturbed the federal fabric of the country as it was evident in the way three BJP leaders were appointed by the Union Government. The Centre through Lt. Governor Kiran Bedi made the appointment without consulting the elected government. The conventions followed for several years in the appointment of nominated legislators were broken, he added. In his address Chief Minister V. Narayanasamy reiterated his charge against AINRC chief N. Rangasamy that he was interested only in power and was not concerned about the development of the Union Territory. The AINRC had discarded their campaign for Statehood after joining the alliance with the BJP, he said.

Water level|Madurai|April 01, 2019 00:00 IST|The water level in Periyar dam stood at 112.85 feet (permissible level is 142 ft) with an inflow of 7 cusecs and a discharge of 100 cusecs. In Vaigai dam, the level was 43.42 ft (71 ft) with nil inflow and a discharge of 60 cusecs. Combined Periyar credit was 1,755 mcft. There was no rainfall in the region in the 24 hours ending at 6 a.m. on Sunday.

Liquor woes|Thanjavur|April 01, 2019 00:00 IST| An unexpected closure of a Tasmac shop on the Medical College Road here on Sunday put regular customers in a spot. Chief Minister Edappadi K. Palaniswami was scheduled to address an election rally here around 7 p.m. and hence the police had directed the wine shop employees to wind up by 4 p.m.

At city bus stands, women face more verbal harassment: report|MADURAI|April 01, 2019 00:00 IST|Women are subjected to verbal harassment more than physical harassment at the four major bus stands in Madurai city. This was one of the findings of a report, titled ‘Harassment faced by women commuters in four major bus stands’, brought out by the Centre for Women’s Studies at Lady Doak College here. The report said 24% of men leered at women and sang obscene or suggestive songs and 20.2% of men passed snide comments on women. The report, which surveyed 2,880 respondents – 1,451 women and 1,429 men – at Periyar, M.G.R., Arapalayam and Tirumangalam bus stands in 2017 and 2018, said at least 14% of the women commuters were physically harassed while travelling. Advisor at the Centre for Women’s Studies Beulah JM Rajkumar, Director Caroline Nesabai and Assistant Professor and Coordinator Ann Nirmala said that students of all disciplines took part in the survey. J. Subashini, a final year student of the college, said that the need for the survey arose during a discussion about safety in public spaces. Ms. Ann said that all respondents complained of having faced harassment. She added that the survey proved that harassment had now become an intrinsic part of society.

Symbols allotted to independent candidates|ERODE|April 01, 2019 00:00 IST|Election officials have allotted the following symbols to the 13 independent candidates who are contesting in the Erode Lok Sabha constituency. A. Arunachalam (Black Board), S. Ananthi (Calculator), A.C. Ganeshamurthy (Coconut Farm), M. Ganeshamoorthy (Air Conditioner), A. Kathirvela (Briefcase), P. Karthikeyan (Plastering Trowel), Chitra (Key), K. Subramanian (Tiller), K.C. Senthilkumar (Gift Pack), S. Dharmalingam (Helmet), A. Natarajan (Bench), N. Paramasivam (Baby Walker) and A. Mani (Laptop). Symbols of others: A. Ganeshamurthi of DMK (Rising Sun), M. Gopal of Bahujan Samaj Party (Elephant), G. Manimaran of AIADMK (Two Leaves), P. Kuppusamy of Ulzaipali Makkal Katchi (Bricks), R. Kuppusamy of Ganasangam Party of India (Lady’s Finger), A. Saravanakumar of Makkal Needhi Maiam (Battery Torch) and M.K. Seethalakshmi of Naam Tamilar Katchi (Ganna Kisan).

