title|location|date|body|is_event|raw_target_date
Residents demand regular water supply|Salem|January 01, 2019 00:00 IST|Residents of Koottathupatti village carrying empty pots staged agitation in front of the Collectorate on Monday demanding regular supply of potable drinking water. The residents came to the Collectorate to present petition to District Collector at the public grievances redress day meeting. When the police prevented the mass entry of the villagers to the Collectorate, they entered into an argument. Police pacified them and allowed four representatives to present petition. The agitators said that about 2,000 families reside in Koottathupatti village which is covered under the Mettur comprehensive drinking water scheme. The water supplied was not adequate enough. Moreover, the electric motor of the borewells at Senguttai, Palapatti road have developed snags further worsening the situation. They also demanded proper toilet and kitchen facility in the local government schools in the village.|0|
Team formed|Coimbatore|January 01, 2019 00:00 IST|The Tirupur North police have formed a special team to investigate the murder of a man whose body was found in a drainage at Karumarampalayam on Sunday. Ramesh (34), a resident of Sukumar Nagar, was found dead in the drainage near Karupparayan kovil at Karumarampalayam near Uthukuli. The police retrieved the body from the drainage after they were alerted by the residents of the locality. Post-mortem report revealed that the man was stabbed to death.|0|
Protest against establishing garbage segregation plant|Erode|January 01, 2019 00:00 IST|Residents of Sathyamangalam Municipality has opposed the establishment of garbage segregation plant along the Bhavani Nagar at RMP Nagar and entered into altercation with officials here on Monday. The municipality has proposed to establish the plant to segregate the degradable and non-degradable waste and began the work. However, over 50 people in the area opposed establishing the plant and stopped the work that was carried by an earthmover. Municipal officials and the police held talks with the protesters. People said that the land was allotted for establishing a park and not for the plant. The work was stopped temporarily and officials left.|0|
AIADMK urges Bedi to ensure law and order|PUDUCHERRY|January 01, 2019 00:00 IST|The opposition AIADMK has called upon the Lieutenant Governor Kiran Bedi to intervene and ensure maintenance of law and order in Puducherry. Referring to the recent incidents of crime, AIADMK Legislature party leader A. Anbalagan told reporters that instead of concentrating on virtually flimsy issues, Ms. Bedi must concentrate on law and order in the larger interest of the people. He said that while on the one hand the Chief Minister V. Narayanasamy was projecting various issues, on the other hand the Lt. Governor was unveiling her policies and consequently both of them are only playing a drama without taking any steps. ‘Growth rate poor’ Ms. Bedi must concentrate on procuring Statehood for Puducherry, including the Union Territory in the Central Finance Commission, working towards promotion of industries and reopening of textile mills. The growth rate in Puducherry was very poor and immediate steps must be taken to put an end to this predicament. Charging that the Chief Minister had totally failed on various fronts, Mr. Anbalagan said that instead of bringing relief to the people, he was going to head a demonstration in Delhi seeking Statehood for the Union Territory. The AIADMK is not against Statehood but there should be a coordinated approach on the part of the Chief Minister. Different stand While in Tamil Nadu Pongal gift hampers were available to all families, Ms. Bedi was taking an amusing stand that only BPL families were eligible for the gift hampers, Mr. Anbalagan added.|0|
power shutdown|ERODE|January 01, 2019 00:00 IST|Due to maintenance work at Kodumudi sub-station, there will be no power supply in the following areas between 9 a.m. and 5 p.m. on January 2 (Wednesday): Kodumudi, Salai Pudur, Kuppampalayam, Rasampalayam, Othakadai, Unjalur, Pilikalpalayam, Thamaraipalayam, Thaluvampalayam, North Moorthipalayam, Arasampalayam, North Pudupalayam, Solakalipalayam and Nagamanaickenpalayam, a press release said.|0|
EB office shifted|ERODE|January 01, 2019 00:00 IST|The office of the Assistant Electricity Engineer, Operations and Maintenance, Mullamparappu section of the Erode Electricity Distribution Circle will function at No. 132, Kalamangalam Illam, Poondurai Main Road, Mullamparappu, Nadagoundanpalayam Post, Erode district, from December 26.|0|
Accidents, crime rates down in city, rural limits|Coimbatore|January 01, 2019 00:00 IST|Coimbatore City Police and Coimbatore District (Rural) Police have claimed improvement in reducing accidents and crime rates in 2018 compared to the previous year. They have released statistics on accidents and crime rates to compare the performances in 2018 and 2017. While 77 persons were killed in accidents in the city in 2017, the number reduced to 123 in 2018. The total number of accidents reduced from 1,030 in 2017 to 980 in 2018. In Coimbatore rural, 520 persons were killed in accidents in 2018 while the number was 738 in 2017. The total number of accidents reduced from 2,467 in 2017 to 1,996 in 2018. The city police registered 112 cases against ganja peddlers, arrested 116 sellers and seized 647 kg of the contraband. The Coimbatore Rural Police registered 57 cases for drug peddling. The city police detained 140 persons under provisions of the Goondas Act in 2018 while the number of detention was 73 in 2017. Twenty six persons were detained by the rural police in 2018. Offences against women had reduced from 46 in 2017 to 44 in 2018 in the city. Coimbatore rural also recorded a decline in the number of such cases from 38 in 2017 to 32 in 2018. The number of property offences in city increased from 646 in 2017 to 720 in 2018. Police detected 513 cases in the current year and recovered Rs. 3.39 crore out of Rs. 4.40 crore of property lost. In Coimbatore rural, police recovered properties worth Rs. 4. 09 crore out of the Rs. 3.02 crore of property lost in 457 property offence cases. The number of murder cases saw an increase in city in 2018 with 29 cases against 21 cases in 2017. Police held the accused in 28 murder cases out of the 29 cases. The cases registered for attempt to murder increased from 18 in 2017 to 26 in 2018. In Coimbatore rural, the number of murders reduced to 35 in 2018 against 47 reported in 2017. For crime prevention and effective policing, the Rural police have so far installed 2,246 surveillance cameras were installed at important places. The rural police started efforts to get All Women Police Stations allocated at Sulur and Valparai. They are also planning to open new traffic police stations at Sulur, Vadavalli, Annur and Valparai. Members of the Tamil Nadu Ramar Sena presented a petition to the Collector at the grievances redress meeting on Monday seeking a ban New Year celebrations stating that it was against our culture.|0|
Gandhi appoints 10 more AICC spokespersons|New Delhi|January 01, 2019 00:00 IST|   Congress President Rahul Gandhi has approved the appointment of 10 new national spokespersons of the AICC. The spokespersons are Rajya Sabha MP Syed Naseer Hussain, Pawan Khera, Jaiveer Shergill, Ragini Nayak, Gourav Vallabh, Rajiv Tyagi, Akhilesh Pratap Singh, Sunil Ahire, Hina Kaware (MLA) and Sravan Dasoju.PTI|0|
Movie tickets get cheaper|CHENNAI|January 01, 2019 00:00 IST|Starting January 1, 2019, movie tickets will be priced less. The first class ticket for a Tamil film will be priced at Rs. 190.78 while the second class ticket will be Rs. 60.12. For other Indian language films, movie goers will have to pay Rs. 202.84 for a first class ticket and Rs. 63.73 for a second class ticket. For English films, the first class ticket rates will be Rs. 211.46, while second class tickets will bear a price tag of Rs. 66.30. Three different theatre owners in the city have confirmed that the rates have been slashed. Theatres, including SPI Cinemas and Mayajaal, have updated their online portals with the new pricing. GST rate cut Last week, Union Finance Minister Arun Jaitley had announced a cut in the Goods and Services Tax on cinema tickets. The Minister had said that cinema tickets priced up to Rs. 100 would attract GST of 12% as against 18%.|0|
Prisoner-run petrol bunks coming soon|CHENNAI|January 01, 2019 00:00 IST|By Pongal, petrol bunks will function from the outer premises of four prisons in the State. The Central Prison in Puzhal will have one by the month-end. The bunks, set up in collaboration with Indian Oil Corporation, would be operated by prisoners with good conduct, said Ashutosh Shukla, Additional Director General Police (ADGP), Prisons. The petrol outlets will have digital payment facilities, ATMs and a prison bazaar. The prisoners would receive a monthly salary of Rs. 7,000 to Rs. 10,000, he said. In the first phase, the bunks will come up on the outer premises of the Central prisons in Vellore, Coimbatore, Palayamkottai, and the Borstal School, Pudukottai. Six outlets would be set up later at other Central prisons.|0|
Sikhs will be kept off ward|New Delhi|January 01, 2019 00:00 IST|Sikh inmates will be kept away from Sajjan Kumar’s ward in the Mandoli jail complex as a precautionary measure, jail sources said. The former Congress leader, who was brought to the jail following his medical examination at a government hospital, would be lodged in prison number 14, they said.|0|
TNPCB meet urges people to use alternatives to plastics|Erode|January 01, 2019 00:00 IST|A district-level conference organised by the Tamil Nadu Pollution Control Board (TNPCB) on the theme “Plastic Free Tamil Nadu” held here on Monday have urged the people to use alternative products for plastic materials. Collector C. Kathiravan, who inaugurated the conference, listed out the banned plastic items that people should desist using from January 1 and encouraged people to use the alternative items that were available for plastics. A pledge was also taken on the occasion that stresses for plastic pollution free State. Banana leaves, earthen pots and tumblers, jute bags, glass tumblers and other items that can be used as an alternative for plastics were kept on display during the conference.|0|
Rock python rescued|Coimbatore|January 01, 2019 00:00 IST| A 13-ft-long Indian Rock Python, a non-venomous snake, was rescued from a farm at Thaimalai in Coonoor on Monday. On information from the farm workers, Forest Department officials reached the spot and captured the snake. It was released into a reserve forest.|0|
Youth killed as SUV plunges into gorge|Kodaikanal|January 01, 2019 00:00 IST|A tourist from Kerala was killed and six others were injured when a sports utility vehicle in which they were proceeding to Kodaikanal fell into a gorge near Savarikadu in Palani-Kodaikanal ghat section in the early hours of Monday. The deceased was Vishnu, 20, of Thrissur. Police said the group of seven youth from Thrissur left for Kodaikanal on Sunday evening to celebrate New Year in the hill station. When they reached Savarikadu around 5.30 a.m. on Monday, Jubin, 24, who was behind the wheel, supposedly dozed off and lost control of the vehicle. The speeding SUV then hit the crash barrier and plunged into a 800-foot-deep gorge. Vishnu was allegedly flung out of the vehicle and was found stuck in a tree. The others were caught inside the vehicle, from which they were pulled out later by local people. The injured have been admitted to Palani Government Hospital.|0|
‘Shift liquor shops’|Ramanathapuram|January 01, 2019 00:00 IST|A group of residents from Kilakarai came to the Collectorate, wearing masks, signifying the unhygienic conditions in their areas in view of the presence of two TASMAC shops, selling liquor and demanding the shifting of the shops. Led by M J Mohammed, a group of residents from East Street, Kilakarai, in a petition to Collector K Veera Raghava Rao here on Monday, said they faced huge inconvenience and hygiene problems as the tipplers who visited the TASMAC shops (No. 6840 and 6843) near the bus stand and bazaar consumed liquor in open and throw away the left over. The whole area was stinking as the tipplers after consuming liquor, strewn the area with empty bottles, empty plastic water sachets and left over of eatables, they said. Women and children who walk through the stretch were the worst affected, they said and urged the Collector to immediately shift the two shops. Stating that there was no space for bus stand, building for Taluk office, they said the government after shifting the electricity bill paying office from the bus stand to a far off place, opened the two liquor shops in the middle of the town, providing people easy access to liquor in a bid to make them drunkards, they said.|0|
CRZ notification is anti-fishermen: Vaiko|CHENNAI|January 01, 2019 00:00 IST|MDMK leader Vaiko has termed the Union Cabinet-approved Coastal Regulation Zone (CRZ) notification, 2018, an arbitrary and “anti-fishermen” move. All State governments, including the Tamil Nadu government, should reject the notification, he said in a statement. “The CRZ notification, 2018, is an attempt to snatch away the States’ rights, deprive fishermen of their livelihood and grant powers over the seas and the coastline to multi-national and corporate giants,” Mr. Vaiko contended.|0|
Talaq Bill is anti-Muslim: Mehbooba|Srinagar|January 01, 2019 00:00 IST|Former chief minister and Peoples Democratic Party (PDP) president Mehbooba Mufti on Monday termed the Triple Talaq Bill, passed in the Lok Sabha recently, “an assault on the Muslim family structure.” “After creating divisions on religious and sectarian lines, the BJP now wants to divide Muslim families through the Triple Talaq Bill. With an economic onslaught already on against Muslims through curbs on meat and leather, the social crisis the Bill can cause will impoverish them further. It would lead to economic disturbance for men and women,” Ms. Mufti told reporters here. Herself a divorcee and a single mother of two daughters, she said Muslims take pride in their strong family structure and bonding. “The same is true of other religions in the East, considered an advantage over the Western culture. However, this Bill is a direct assault on that,” said Ms. Mufti. Ms. Mufti married her cousin in 1984 but fell apart within six years of her marriage and later worked in a private bank to raise her two daughters. “I have gone through a broken marriage and I feel that a woman faces the biggest challenge economically after her marriage is broken,” she said. “Democracy is not run through brute majority, it is about consensus. It’s important to empower Muslim women to face the world independently in case of a breakup.”|0|
Anti-social element murdered|CHENNAI|January 01, 2019 00:00 IST|A 24-year-old anti-social element was found dead with cut injuries near the Cholavaram lake early on Monday. According to the police, Diwakar was a resident of Vyasarpadi, B. V. Colony, and had multiple cases against him. He left home on Sunday evening and did not return. The next day, people who went to fish in the lake spotted the body and alerted the police. A case has been registered and further investigation is on.|0|
Poll rolls to be published on Jan. 21|CHENNAI|January 01, 2019 00:00 IST|Chief Electoral Officer V. Candavelou on Monday informed that the electoral rolls with reference to January 1, 2019, as the qualifying date will be published on January 21. The rolls will be available for public inspection at all polling stations till January 27. Earlier the electoral roll was scheduled to be published on January 4.|0|
Do not create panic over blood transfusion: TNGDA|MADURAI|January 01, 2019 00:00 IST|Arguing that the recent incident of transfusion of HIV-infected blood from a donor to a pregnant woman was due to ‘negligence by individuals,’ Tamil Nadu Government Doctors Association (TNGDA) has appealed to the civil society and politicians not to create panic regarding blood transfusion. Addressing media here on Monday, K. Senthil, president, TNGDA, said raising suspicion on the entire system based on this incident would lead to difficulties during emergency situations when blood transfusion was necessary. “Public will lose trust and it will be difficult for doctors to take a call whether to proceed with transfusion or not,” he asked. He said all the procedures followed in the collection, storage and transfusion of blood in Tamil Nadu were as prescribed by National AIDS Control Organisation (NACO). Conceding the possibility that there was a need for fine-tuning the processes, he, however, stressed that it must be done at the national level. Window period He also stressed the need for understanding the fact that HIV infection might go undetected if the infected person was in the ‘window period.’ “A person who contracted the virus will not test positive before the window period, which could last from one week to three months. The tests that could possibly detect the virus within this ‘window period’ are expensive and are not used in the mandatory screening tests done now,” he said. To avoid the risks in transfusion during this ‘window period,’ he said blood transfusion must be done only when it was absolutely necessary. “Importantly, the practice of arranging donors from among friends and relatives must be encouraged,” he said.|0|
Kurnool enters aviation era|KURNOOL|January 01, 2019 00:00 IST|The trial run of the Orvakal Greenfield airport was conducted successfully on Monday morning. An aircraft of Turbo Aviation took off from Hyderabad and landed at the airport, 26 km from the city. The trial run was conducted in the presence Principal Secretary (Energy) Ajay Jain. The Air Traffic Control Tower, passenger lounge and administrative buildings are ready along with the 3,500-meter runway. Chief Minister N. Chandrababu Naidu is likely to formally inaugurate the airport on January 8, according to officials. The airport is being developed in 1,000 acres spending Rs. 100 crore initial investment. With the airport likely to be readied to operate commercial flights from April 1, 2019, Kurnool will get cair connectivity to Kadapa, Hyderabad and Vijayawada and bring passengers from Nandyal, Anantapur and other small towns in the region. The airport was developed by the Andhra Pradesh Airports Development Corporation Ltd. (APADCL). Kurnool is the second largest district in the State with an agriculture economy contributing to 36% of GDP, manufacturing 18% and the services sector 46%, the officials said and these sectors would get a boost with this connectivity. Kurnool is being planned to be developed by State government as a hub for mineral-based industries and food processing, the officials said.|0|
Dharma sansad to discuss temple issue|VIJAYAPURA|January 01, 2019 00:00 IST| Vishwesha Tirtha Swami of Pejawar Mutt in Udupi has said that a dharma sansad in Prayagraj in January of seers of different mutts will discuss the next move to pressure the Union government to build a Ram Temple in Ayodhya.|0|
7 acquitted in fake stamp paper scam|Pune|January 01, 2019 00:00 IST|A special court in Nashik on Monday acquitted seven persons, including deceased counterfeiter and prime accused, Abdul Ladsab Telgi, alias Kareem Lala, in the multi-crore stamp paper scam. The charges against Telgi, alleged to be the kingpin behind the scam, were abated following his death in Bengaluru in 2017.|0|
Traders want cattle shandies re-opened|Erode|January 01, 2019 00:00 IST|Stating that foot-and-mouth-disease that was affecting the cattle was brought under control in the district, members of Erode District Milch Cows and Calf Rearing Traders Welfare Association, urged the district administration to lift the ban on conduct of shandies at the earliest. Its secretary R. Murugan told reporters here on Monday that due to the outbreak of diseases, cattle shandies were closed for the past six weeks in the district. He said that the livelihood of farmers and traders who are dependent on the shandies were affected much in all these weeks. Transactions worth Rs. 3 crore would take place every week at the Karungalpalayam shandy in the city while transactions worth Rs. 1 crore would take place at Anthiyur, Punjai Puliyampatti and Seenapuram shandies every week. Hundreds of farmers and traders livelihood were dependent on these shandies as the outstanding money is yet to be collected or settled. Currently, the disease was brought under control and no cattle were affected. With Pongal celebrations to begin soon, cows were in good demand as farmers need it for offering prayers. Hence, they urged the administration to allow re-opening of the shandies.|0|
Madurai ushers in New Year with colour and music|MADURAI|January 01, 2019 00:00 IST|The Temple City ushered in the New Year with parties and celebration on Monday night. Crowds were seen thronging areas like Goripalayam and Anna Nagar as firecrackers lit the sky and cheers were called out. Five star hotels in various parts of the city offered parties and dine-in options. Many thronged restaurants that stayed open late at night and offered revelry and scrumptious meals. Ushering in the New Year, two malls played a variety of songs and offered youngsters an opportunity to mingle and socialise. Bakeries were seen open until midnight dishing out cakes and treats for those making last-minute purchases. Lights illuminated streets, signs and billboards and colourful decorations were placed ahead of the days leading up to the New Year. Devotees lined up at the Meenakshi Sundareswarar Temple in the early hours to offer prayers. Several churches, including St. Lourde’s Shrine in K. Pudur, The Holy Rosary Church off Town Hall Road and St. Mary’s Cathedral on East Veli Street held midnight masses. Several people were seen exiting the grand exhibition at Tamukkam grounds. They also purchased knick-knacks and balloons on the occasion. A large number of policemen were deployed at various spots in and around the city and at major junctions and places like Simmakal, Periyar Bus Stand, Mattuthavani and Goripalayam, hours before the clock struck 12. Police officials reprimanded those who were speeding in vehicles.|0|
Farmers invited to take part in Rice Field Day on January 8|ERODE|January 01, 2019 00:00 IST|Kumaraguru Institute of Agriculture in association with the Tamil Nadu Rice Research Institute (TRRI), Aduthurai, Thanjavur district, and the State Agriculture Department, Erode district, will organise Rice Field Day at the institute premises at 11 a.m. on January 8. A press release from the institute said that the purpose of the celebration was to showcase the new Rice Culture AD 07073 developed by TRRI. The rice culture would be beneficial to the farmers of this region due to its multiple advantages like short duration, high yielding potential, non-lodging, medium slender rice and moderately resistance to pests and diseases. Scientists from Tamil Nadu Agricultural University (TNAU), extension functionaries of the State Agricultural Department, scientists from the college and students would interact with the farmers during the day. The release asked the farmers cultivating rice in the region to participate and get benefited.|0|
Police let off 4 youth after interrogation|CHENNAI|January 01, 2019 00:00 IST|The Police Commissioner apologised to four youth who were reportedly interrogated on suspicion by the police and were later let off as no evidence could be found against them. On December 17, four youth were seen tilting a CCTV camera, located in a house on Haji Sheik Hussain Street, towards a bike. The next day, information was sent to the Ice House police station about the incident and the footage was leaked to a few television channels, informing them that the youth had attempted to steal the bike. Subsequently, the clip went viral on social media. The youth were summoned for enquiry and the police found that one of them had actually lost the key to the bike. They had changed the camera’s direction in order to ensure that the vehicle was not be taken away. They were let off after they gave a written undertaking. Three of them lost their jobs after the video went viral. The youth were invited by City Police Commissioner A.K.Viswanathan, who apologised to them.|0|
103 boys taken ill after dinner|January 01, 2019 00:00 IST|January 01, 2019 00:00 IST|As many as 103 boys housed in the State Home for Boys on Hosur Road had to be taken to the hospital following complaints of illness after dinner on Saturday. One of the boys alerted the staff after spotting a lizard in his dinner plate. By Monday evening, 100 boys were discharged while three boys have been kept under observation. The food samples have been sent for tests.|0|
Stalin presses for CBI inquiry into Jaya’s death|CHENNAI|January 01, 2019 00:00 IST|DMK president M.K. Stalin on Monday said that only an inquiry by the Central Bureau of Investigation (CBI) would solve the mystery surrounding the death of former Chief Minister Jayalalithaa. Addressing mediapersons, the DMK leader said it was his view that the commission headed by retired Justice Arumughaswamy won’t be able to bring out the truth. When asked about Law Minister C.Ve. Shanmugam’s claim that Jayalalithaa’s death was shrouded in mystery, Mr. Stalin said he had seen the Minister’s interview. “I demanded a CBI inquiry immediately after the former Chief Minister’s death. But I was then criticised for my views. Now, Mr. Shanmugam has suggested that Health Secretary J. Radhakrishnan should be grilled in custody,” he said. There is a mystery in the former Chief Minister’s death. The CBI alone would be able to bring out the truth of the matter,” the DMK leader added.|0|
